run_id,dataset,mode,model,adapter_hidden_dim,adapter_type,seed
wuja4xqv,eurosat_sar,lin_eval_slr,mae,2,slr,0
1cdk76ry,eurosat_sar,slr_ft,mae,2,slr,0
jztlyu7m,eurosat_sar,lin_eval_slr,mae,8,slr,0
awxk3nhm,eurosat_sar,slr_ft,mae,8,slr,0
viu7agy7,eurosat_sar,slr_ft,mae,8,slr,1
6jgedrky,eurosat_sar,slr_ft,mae,8,slr,2
mkogw2xi,eurosat_sar,lin_eval_slr,mae,32,slr,0
f3z8uq60,eurosat_sar,slr_ft,mae,32,slr,0
pd1p6ma6,eurosat_sar,lin_eval_slr,mae,128,slr,0
njvyy56n,eurosat_sar,slr_ft,mae,128,slr,0
xci5vtsl,eurosat_sar,lin_eval_slr,mae,2,lora,0
j64vtoaa,eurosat_sar,slr_ft_scratch,mae,2,lora,0
qh4ei0oa,eurosat_sar,lin_eval_slr,mae,8,lora,0
dyv1uv6q,eurosat_sar,slr_ft_scratch,mae,8,lora,0
rwy9o1i6,eurosat_sar,slr_ft_scratch,mae,8,lora,1
06tlkkap,eurosat_sar,slr_ft_scratch,mae,8,lora,2
l5545kn7,eurosat_sar,lin_eval_slr,mae,32,lora,0
eoy0yce0,eurosat_sar,slr_ft_scratch,mae,32,lora,0
ir8jpcsd,eurosat_sar,lin_eval_slr,mae,128,lora,0
sesvejv2,eurosat_sar,slr_ft_scratch,mae,128,lora,0
g715psj6,eurosat_sar,lin_eval,mae,1,bias,0
2lrxtq09,eurosat_sar,bias_ft_scratch,mae,1,bias,0
qnorpee9,eurosat_sar,bias_ft_scratch,mae,1,bias,1
xprcsi00,eurosat_sar,bias_ft_scratch,mae,1,bias,2
roonw5dl,eurosat_sar,lin_eval_slr,mae,1,ia3,0
ozwq9hui,eurosat_sar,slr_ft_scratch,mae,1,ia3,0
2f4ki51d,eurosat_sar,slr_ft_scratch,mae,1,ia3,1
o1rc2kue,eurosat_sar,slr_ft_scratch,mae,1,ia3,2
7hdiscx1,eurosat_sar,lin_eval_slr,mae,1,norm,0
9j05837k,eurosat_sar,norm_ft_scratch,mae,1,norm,0
2da7cjoo,eurosat_sar,norm_ft_scratch,mae,1,norm,1
eu96n6gl,eurosat_sar,norm_ft_scratch,mae,1,norm,2

