run_id,dataset,mode,model,k,seed
bruf1709,eurosat,lin_eval,sat_mae,10,0
xbf3bzxl,eurosat,lin_eval,sat_mae,10,1
7v157mcj,eurosat,lin_eval,sat_mae,10,2
6cb6w4wu,eurosat,lin_eval_slr,sat_mae,10,0
t72wsgcg,eurosat,lin_eval_slr,sat_mae,10,1
dqtcki8e,eurosat,lin_eval_slr,sat_mae,10,2
uuxre2il,eurosat,slr_scale,sat_mae,10,0
xqi4ucbg,eurosat,slr_scale,sat_mae,10,1
xawp8xgq,eurosat,slr_scale,sat_mae,10,2
521d8hgt,eurosat,slr_ft,sat_mae,10,0
wyswhup8,eurosat,slr_ft,sat_mae,10,1
atj6xtw0,eurosat,slr_ft,sat_mae,10,2
x73dib20,eurosat,slr_ft_scratch,sat_mae,10,0
0h14n5cn,eurosat,slr_ft_scratch,sat_mae,10,1
dbp5p6dp,eurosat,slr_ft_scratch,sat_mae,10,2
oh0v4lfs,eurosat,ft,sat_mae,10,0
x34od5yo,eurosat,ft,sat_mae,10,1
q9tvf2ho,eurosat,ft,sat_mae,10,2
7754mx5y,eurosat,lin_eval,sat_mae,100,0
mqri7o7s,eurosat,lin_eval,sat_mae,100,1
bs6q6fwv,eurosat,lin_eval,sat_mae,100,2
jebans3l,eurosat,lin_eval_slr,sat_mae,100,0
gi9doufn,eurosat,lin_eval_slr,sat_mae,100,1
c8admnv6,eurosat,lin_eval_slr,sat_mae,100,2
lpna4dvd,eurosat,slr_scale,sat_mae,100,0
xjurcqte,eurosat,slr_scale,sat_mae,100,1
bxjey6at,eurosat,slr_scale,sat_mae,100,2
s3o6e24o,eurosat,slr_ft,sat_mae,100,0
qebn0kx6,eurosat,slr_ft,sat_mae,100,1
cjt03z65,eurosat,slr_ft,sat_mae,100,2
qh88dh8z,eurosat,slr_ft_scratch,sat_mae,100,0
wlu1phvc,eurosat,slr_ft_scratch,sat_mae,100,1
t0lsjgpp,eurosat,slr_ft_scratch,sat_mae,100,2
zaqr9e5c,eurosat,ft,sat_mae,100,0
1ruyhj37,eurosat,ft,sat_mae,100,1
ewyafld5,eurosat,ft,sat_mae,100,2
lhriwz31,eurosat_sar,lin_eval,mae,10,0
vbyu2p8k,eurosat_sar,lin_eval,mae,10,1
x4aresja,eurosat_sar,lin_eval,mae,10,2
lnjs7qmv,eurosat_sar,lin_eval_slr,mae,10,0
vjlsy6wl,eurosat_sar,lin_eval_slr,mae,10,1
qnklmdt8,eurosat_sar,lin_eval_slr,mae,10,2
7mq7e0x4,eurosat_sar,slr_scale,mae,10,0
rgf0kp6a,eurosat_sar,slr_scale,mae,10,1
9fdea560,eurosat_sar,slr_scale,mae,10,2
gfd3fin3,eurosat_sar,slr_ft,mae,10,0
6pl6cgas,eurosat_sar,slr_ft,mae,10,1
cqk1eist,eurosat_sar,slr_ft,mae,10,2
edxn7fyf,eurosat_sar,slr_ft_scratch,mae,10,0
chqo0g3v,eurosat_sar,slr_ft_scratch,mae,10,1
ybhk16pr,eurosat_sar,slr_ft_scratch,mae,10,2
ove56ubs,eurosat_sar,ft,mae,10,0
xfwsg7zr,eurosat_sar,ft,mae,10,1
nxk2uhwx,eurosat_sar,ft,mae,10,2
0udr56rd,eurosat_sar,lin_eval,mae,100,0
bl32tste,eurosat_sar,lin_eval,mae,100,1
l81qqcyd,eurosat_sar,lin_eval,mae,100,2
0y79umds,eurosat_sar,lin_eval_slr,mae,100,0
i6rljbh2,eurosat_sar,lin_eval_slr,mae,100,1
xslefr2s,eurosat_sar,lin_eval_slr,mae,100,2
a6z1vvec,eurosat_sar,slr_scale,mae,100,0
8gq909wz,eurosat_sar,slr_scale,mae,100,1
s5q102w9,eurosat_sar,slr_scale,mae,100,2
8vudgsqu,eurosat_sar,slr_ft,mae,100,0
egkep6cz,eurosat_sar,slr_ft,mae,100,1
uezurjsv,eurosat_sar,slr_ft,mae,100,2
hc3mon19,eurosat_sar,ft,mae,100,0
7vlxp1oo,eurosat_sar,ft,mae,100,1
amkjhl5i,eurosat_sar,ft,mae,100,2
3umg7l1s,eurosat_sar,slr_ft_scratch,mae,100,0
9rl9v0sk,eurosat_sar,slr_ft_scratch,mae,100,1
21eedp46,eurosat_sar,slr_ft_scratch,mae,100,2
3i69zxhw,benge_s1_c,slr_ft,scale_mae,10,0
bxqednyi,benge_s1_c,slr_ft,scale_mae,10,1
cx2cyg08,benge_s1_c,slr_ft,scale_mae,10,2
5rw22vg7,benge_s1_c,slr_ft_scratch,scale_mae,10,0
todrzj6f,benge_s1_c,slr_ft_scratch,scale_mae,10,1
oe515n1d,benge_s1_c,slr_ft_scratch,scale_mae,10,2
ysickrlq,benge_s1_c,slr_ft,scale_mae,100,0
72oqyfg6,benge_s1_c,slr_ft,scale_mae,100,1
hot0wn5e,benge_s1_c,slr_ft,scale_mae,100,2
qmkh05xm,benge_s1_c,slr_ft_scratch,scale_mae,100,0
goac8drm,benge_s1_c,slr_ft_scratch,scale_mae,100,1
hueiytj0,benge_s1_c,slr_ft_scratch,scale_mae,100,2


