run_id,dataset,mode,model,seed
v80uc63b,eurosat,lin_eval,sat_mae,0
db6p3b28,eurosat,lin_eval,sat_mae,1
c8g7kza7,eurosat,lin_eval,sat_mae,2
o99tcudg,eurosat,lin_eval,scale_mae,0
43m29edc,eurosat,lin_eval,scale_mae,1
wut0sod5,eurosat,lin_eval,scale_mae,2
mi413zu4,eurosat,lin_eval,mae,0
lba3r6ux,eurosat,lin_eval,mae,1
q8why5yd,eurosat,lin_eval,mae,2
wv9pwegr,eurosat,lin_eval_slr,sat_mae,0
9irbcbwu,eurosat,lin_eval_slr,sat_mae,1
myghjox9,eurosat,lin_eval_slr,sat_mae,2
xc0111gi,eurosat,lin_eval_slr,scale_mae,0
oqwpra63,eurosat,lin_eval_slr,scale_mae,1
xrjwbvls,eurosat,lin_eval_slr,scale_mae,2
fnncnj1u,eurosat,lin_eval_slr,mae,0
m0jobrir,eurosat,lin_eval_slr,mae,1
q3ol7iy0,eurosat,lin_eval_slr,mae,2
435uwajq,eurosat,slr_ft,sat_mae,0
7c0oncvx,eurosat,slr_ft,scale_mae,0
d2jl3ybs,eurosat,slr_ft,mae,0
95yf9yd4,eurosat,ft,sat_mae,0
82buiu8m,eurosat,ft,sat_mae,1
xmfy6njw,eurosat,ft,sat_mae,2
na9aqfoa,eurosat,ft,scale_mae,0
9p4y79zp,eurosat,ft,scale_mae,1
jjpjj6zs,eurosat,ft,scale_mae,2
1hryqu5d,eurosat,ft,mae,0
9tr3cmez,eurosat,ft,mae,1
dgghlgr8,eurosat,ft,mae,2
hh9br2ot,benge_s1_c,lin_eval,sat_mae,0
zqg32cdd,benge_s1_c,lin_eval,scale_mae,0
vatcp9hl,benge_s1_c,lin_eval,mae,0
vyf31ykv,benge_s1_c,lin_eval_slr,sat_mae,0
di7zcdcg,benge_s1_c,lin_eval_slr,scale_mae,0
apf104b4,benge_s1_c,lin_eval_slr,mae,0
f043utte,benge_s1_c,slr_ft,sat_mae,0
a87k0spu,benge_s1_c,slr_ft,scale_mae,0
559af5sl,benge_s1_c,slr_ft,mae,0
c21jsj5n,benge_s1_c,ft,sat_mae,0
nrnyyoy5,benge_s1_c,ft,scale_mae,0
zvhh7aft,benge_s1_c,ft,mae,0
xt0ldfsn,resisc45,lin_eval,sat_mae,0
afb82bag,resisc45,lin_eval,scale_mae,0
1rida8wc,resisc45,lin_eval,mae,0
cby7du8w,resisc45,lin_eval_slr,sat_mae,0
y5o4d63m,resisc45,lin_eval_slr,scale_mae,0
0ky53mvn,resisc45,lin_eval_slr,mae,0
16d8pntd,resisc45,slr_ft,sat_mae,0
z6siolys,resisc45,slr_ft,scale_mae,0
19d02xj7,resisc45,slr_ft,mae,0
k7vz5vtp,resisc45,ft,sat_mae,0
7ahexin1,resisc45,ft,scale_mae,0
sjf3w0n0,resisc45,ft,mae,0
g4hr8v8q,firerisk,lin_eval,sat_mae,0
91d46xse,firerisk,lin_eval,scale_mae,0
n9ny1ysc,firerisk,lin_eval,mae,0
2632qh4c,firerisk,lin_eval_slr,sat_mae,0
epa33xgy,firerisk,lin_eval_slr,scale_mae,0
6a1hyc2p,firerisk,lin_eval_slr,mae,0
2ilvddoh,firerisk,slr_ft,sat_mae,0
65q3ofnr,firerisk,slr_ft,scale_mae,0
d02f01m3,firerisk,slr_ft,mae,0
x4jfz3yf,firerisk,ft,scale_mae,0
h2wurrrn,firerisk,ft,sat_mae,0
8awtpw9i,firerisk,ft,mae,0
23lmqhj2,treesatai,lin_eval,sat_mae,0
1lbozoz3,treesatai,lin_eval,scale_mae,0
5owxir3n,treesatai,lin_eval,mae,0
f8dhxeiz,treesatai,lin_eval_slr,sat_mae,0
ys2tvhna,treesatai,lin_eval_slr,scale_mae,0
uj9dxwnj,treesatai,lin_eval_slr,mae,0
lfdkvm8g,treesatai,slr_ft,sat_mae,0
x514phlz,treesatai,slr_ft,scale_mae,0
fnuk016v,treesatai,slr_ft,mae,0
uarkh1t5,treesatai,ft,sat_mae,0
63zesmpw,treesatai,ft,scale_mae,0
7fq0gwo1,treesatai,ft,mae,0
kim7xfs9,ucmerced,lin_eval,sat_mae,0
gmw3awry,ucmerced,lin_eval,scale_mae,0
ima5r58b,ucmerced,lin_eval,mae,0
svphq2p1,ucmerced,lin_eval_slr,sat_mae,0
okn40e4k,ucmerced,lin_eval_slr,scale_mae,0
8w3jp0tk,ucmerced,lin_eval_slr,mae,0
jtppp03j,ucmerced,slr_ft,sat_mae,0
1cppsnmc,ucmerced,slr_ft,scale_mae,0
fw91s3hm,ucmerced,slr_ft,mae,0
rjjiu0pi,ucmerced,ft,sat_mae,0
zdf9azn2,ucmerced,ft,scale_mae,0
3d440fvd,ucmerced,ft,mae,0
wmbyya5h,benge_s1_seg,lin_eval,sat_mae,0
la8dpxje,benge_s1_seg,lin_eval,scale_mae,0
pvn8wcsp,benge_s1_seg,lin_eval,mae,0
d9lq46dm,benge_s1_seg,lin_eval_slr,sat_mae,0
cszk1xzi,benge_s1_seg,lin_eval_slr,scale_mae,0
jkp9ekg3,benge_s1_seg,lin_eval_slr,mae,0
674l7p1o,benge_s1_seg,slr_ft,sat_mae,0
i8nlcvds,benge_s1_seg,slr_ft,scale_mae,0
5b7wejj5,benge_s1_seg,slr_ft,mae,0
3s6h0xo1,benge_s1_seg,ft,sat_mae,0
9mmy2s6x,benge_s1_seg,ft,scale_mae,0
qvsj1cwh,benge_s1_seg,ft,mae,0
mabfhv6z,eurosat_sar,lin_eval,sat_mae,0
dgqupthx,eurosat_sar,lin_eval,scale_mae,0
d3t47h5y,eurosat_sar,lin_eval,mae,0
frdkrb7h,eurosat_sar,lin_eval,mae,1
lhpzx5md,eurosat_sar,lin_eval,mae,2
6n00sdx0,eurosat_sar,lin_eval_slr,sat_mae,0
da8u0zdq,eurosat_sar,lin_eval_slr,scale_mae,0
giwbqewd,eurosat_sar,lin_eval_slr,mae,0
3krg7gw2,eurosat_sar,lin_eval_slr,mae,1
th6i9i4g,eurosat_sar,slr_ft,sat_mae,0
1hrpsah9,eurosat_sar,slr_ft,scale_mae,0
shv4tke6,eurosat_sar,slr_ft,mae,0
hppo86f9,eurosat_sar,ft,sat_mae,0
wb9sfrwu,eurosat_sar,ft,scale_mae,0
rkc38tgm,eurosat_sar,ft,mae,0
x4cyco90,eurosat_sar,ft,mae,1
ffou7bxw,eurosat_sar,ft,mae,2




