run_id,dataset,mode,model
v80uc63b,eurosat,lin_eval,sat_mae
o99tcudg,eurosat,lin_eval,scale_mae
mi413zu4,eurosat,lin_eval,mae
wv9pwegr,eurosat,lin_eval_slr,sat_mae
xc0111gi,eurosat,lin_eval_slr,scale_mae
fnncnj1u,eurosat,lin_eval_slr,mae
435uwajq,eurosat,slr_ft,sat_mae
7c0oncvx,eurosat,slr_ft,scale_mae
d2jl3ybs,eurosat,slr_ft,mae
95yf9yd4,eurosat,ft,sat_mae
na9aqfoa,eurosat,ft,scale_mae
1hryqu5d,eurosat,ft,mae
hh9br2ot,benge_s1_c,lin_eval,sat_mae
zqg32cdd,benge_s1_c,lin_eval,scale_mae
vatcp9hl,benge_s1_c,lin_eval,mae
vyf31ykv,benge_s1_c,lin_eval_slr,sat_mae
di7zcdcg,benge_s1_c,lin_eval_slr,scale_mae
apf104b4,benge_s1_c,lin_eval_slr,mae
f043utte,benge_s1_c,slr_ft,sat_mae
a87k0spu,benge_s1_c,slr_ft,scale_mae
559af5sl,benge_s1_c,slr_ft,mae
c21jsj5n,benge_s1_c,ft,sat_mae
nrnyyoy5,benge_s1_c,ft,scale_mae
zvhh7aft,benge_s1_c,ft,mae
xt0ldfsn,resisc45,lin_eval,sat_mae
afb82bag,resisc45,lin_eval,scale_mae
1rida8wc,resisc45,lin_eval,mae
cby7du8w,resisc45,lin_eval_slr,sat_mae
y5o4d63m,resisc45,lin_eval_slr,scale_mae
0ky53mvn,resisc45,lin_eval_slr,mae
16d8pntd,resisc45,slr_ft,sat_mae
z6siolys,resisc45,slr_ft,scale_mae
19d02xj7,resisc45,slr_ft,mae
k7vz5vtp,resisc45,ft,sat_mae
7ahexin1,resisc45,ft,scale_mae
sjf3w0n0,resisc45,ft,mae
g4hr8v8q,firerisk,lin_eval,sat_mae
91d46xse,firerisk,lin_eval,scale_mae
n9ny1ysc,firerisk,lin_eval,mae
2632qh4c,firerisk,lin_eval_slr,sat_mae
epa33xgy,firerisk,lin_eval_slr,scale_mae
6a1hyc2p,firerisk,lin_eval_slr,mae
2ilvddoh,firerisk,slr_ft,sat_mae
65q3ofnr,firerisk,slr_ft,scale_mae
d02f01m3,firerisk,slr_ft,mae
x4jfz3yf,firerisk,ft,scale_mae
h2wurrrn,firerisk,ft,sat_mae
8awtpw9i,firerisk,ft,mae
23lmqhj2,treesatai,lin_eval,sat_mae
1lbozoz3,treesatai,lin_eval,scale_mae
5owxir3n,treesatai,lin_eval,mae
f8dhxeiz,treesatai,lin_eval_slr,sat_mae
ys2tvhna,treesatai,lin_eval_slr,scale_mae
uj9dxwnj,treesatai,lin_eval_slr,mae
lfdkvm8g,treesatai,slr_ft,sat_mae
x514phlz,treesatai,slr_ft,scale_mae
fnuk016v,treesatai,slr_ft,mae
uarkh1t5,treesatai,ft,sat_mae
63zesmpw,treesatai,ft,scale_mae
7fq0gwo1,treesatai,ft,mae
kim7xfs9,ucmerced,lin_eval,sat_mae
gmw3awry,ucmerced,lin_eval,scale_mae
ima5r58b,ucmerced,lin_eval,mae
svphq2p1,ucmerced,lin_eval_slr,sat_mae
okn40e4k,ucmerced,lin_eval_slr,scale_mae
8w3jp0tk,ucmerced,lin_eval_slr,mae
jtppp03j,ucmerced,slr_ft,sat_mae
1cppsnmc,ucmerced,slr_ft,scale_mae
fw91s3hm,ucmerced,slr_ft,mae
rjjiu0pi,ucmerced,ft,sat_mae
zdf9azn2,ucmerced,ft,scale_mae
3d440fvd,ucmerced,ft,mae
wmbyya5h,benge_s1_seg,lin_eval,sat_mae
la8dpxje,benge_s1_seg,lin_eval,scale_mae
pvn8wcsp,benge_s1_seg,lin_eval,mae
d9lq46dm,benge_s1_seg,lin_eval_slr,sat_mae
cszk1xzi,benge_s1_seg,lin_eval_slr,scale_mae
jkp9ekg3,benge_s1_seg,lin_eval_slr,mae
674l7p1o,benge_s1_seg,slr_ft,sat_mae
i8nlcvds,benge_s1_seg,slr_ft,scale_mae
5b7wejj5,benge_s1_seg,slr_ft,mae
3s6h0xo1,benge_s1_seg,ft,sat_mae
9mmy2s6x,benge_s1_seg,ft,scale_mae
qvsj1cwh,benge_s1_seg,ft,mae
mabfhv6z,eurosat_sar,lin_eval,sat_mae
dgqupthx,eurosat_sar,lin_eval,scale_mae
d3t47h5y,eurosat_sar,lin_eval,mae
6n00sdx0,eurosat_sar,lin_eval_slr,sat_mae
da8u0zdq,eurosat_sar,lin_eval_slr,scale_mae
giwbqewd,eurosat_sar,lin_eval_slr,mae
th6i9i4g,eurosat_sar,slr_ft,sat_mae
1hrpsah9,eurosat_sar,slr_ft,scale_mae
shv4tke6,eurosat_sar,slr_ft,mae
hppo86f9,eurosat_sar,ft,sat_mae
wb9sfrwu,eurosat_sar,ft,scale_mae
rkc38tgm,eurosat_sar,ft,mae




